,name,mileage,price,owners,body,int,ext,vin,engine,tm,drive,fuel,height,length,width,gclear,wheelb,ftrackw,mpg,rtrackw
246,2017 Nissan Maxima,"3.5 SR | 50,138 miles","$20,980",1,Sedan,Black,Brilliant Silver,1N4AA6AP5HC434589,3.5L V6 300hp 261ft. lbs.,Automatic,FWD,Gasoline,"56.5""","192.8""","73.2""","5.3""","109.3""","62.4""",21 City / 30 Hwy,"62.4"""
247,2017 Mazda CX-5,"Touring | 45,216 miles","$18,910",1,SUV,Black,Grey,JM3KFACL5H0151888,SKYACTIV-G 2.5L I4 187hp 185ft. lbs.,Automatic,FWD,Gasoline,"66.1""","179.1""","72.5""","7.6""","106.2""","62.8""",24 City / 31 Hwy,"62.8"""
248,2019 Nissan Murano,"Platinum | 1,886 miles","$33,110",1,SUV,Black,Magnetic Black Pearl,5N1AZ2MJ9KN151185,3.5L V6 260hp 240ft. lbs.,Automatic,FWD,Gasoline,"67.8""","192.8""","75.4""","6.9""","111.2""","64.6""",20 City / 28 Hwy,"64.6"""
249,2017 Nissan Rogue,"SV | 28,925 miles","$16,120",1,Wagon,Black,Brilliant Silver,JN8AT2MT0HW397119,2.5L I4 170hp 175ft. lbs.,Automatic,FWD,Gasoline,Unavailable,"184.5""","72.4""","7.8""","106.5""","62.8""",26 City / 33 Hwy,"62.8"""
250,2017 INFINITI QX60,"Base | 28,923 miles","$25,460",1,SUV,Black,Grey,5N1DL0MN7HC542975,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
251,2019 Mercedes-Benz C-Class,"C 300 | 17,563 miles","$38,240",3,Coupe,Black,Polar White,WDDWJ8DB1KF778525,2.0L Turbo I4 255hp 273ft. lbs.,Automatic,RWD,Gasoline,"55.3""","184.5""","79.4""","3.5""","111.8""","61.5""",22 City / 31 Hwy,"60.9"""
252,2019 Ford Transit Passenger,"350 XLT | 34,525 miles","$24,900",1,Van Minivan,Gray,Oxford White,1FBZX2YM1KKB11447,3.7L V6 275hp 260ft. lbs.,Automatic,RWD,Gasoline,"82.4""","237.6""","97.4""","6""","147.6""","68.2""",14 City / 18 Hwy,"68.6"""
253,2019 Ford Transit Passenger,"350 XLT | 35,197 miles","$24,900",1,Van Minivan,Gray,White,1FBZX2YM0KKA74892,3.7L V6 275hp 260ft. lbs.,Automatic,RWD,Gasoline,"82.4""","237.6""","97.4""","6""","147.6""","68.2""",14 City / 18 Hwy,"68.6"""
254,2019 Lexus RX 350,"350 | 15,395 miles","$47,650",1,SUV,Brown,Silver,2T2BZMCA7KC195433,3.5L V6 295hp 267ft. lbs.,Automatic,AWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",19 City / 26 Hwy,"64"""
255,2019 Alfa Romeo Giulia,"Base | 4,803 miles","$29,800",1,Sedan,Black,Alfa Rosso,ZARFAMAN3K7622245,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,RWD,Gasoline,"56.5""","182.6""","79.7""",Unavailable,"111""","61.3""",24 City / 33 Hwy,"63.9"""
256,2019 Honda Accord,"Sport | 16,390 miles","$25,480",1,Sedan,Black,Crystal Black Pearl,1HGCV1F30KA157399,1.5L Turbo I4 192hp 192ft. lbs.,Automatic,FWD,Gasoline,"57.1""","192.2""","73.3""",Unavailable,"111.4""","62.6""",29 City / 35 Hwy,"63.1"""
257,2019 Toyota Sienna,"LE | 18,368 miles","$26,900",1,Van Minivan,Gray,Midnight Black Metallic,5TDKZ3DC8KS009405,3.5L V6 296hp 263ft. lbs.,Automatic,FWD,Gasoline,"70.7""","200.6""","78.1""","6.5""","119.3""","67.7""",19 City / 27 Hwy,"67.7"""
260,2019 Kia Sorento,"LX | 30,542 miles","$19,600",1,SUV,Black,Sparkling Silver,5XYPG4A34KG450855,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"66.5""","189""","74.4""","7.3""","109.4""","64.3""",22 City / 29 Hwy,"64.7"""
261,2019 Kia Soul,"+ | 42,255 miles","$13,570",1,Hatchback,Black,Titanium Gray,KNDJP3A52K7651006,2.0L I4 161hp 150ft. lbs.,Automatic,FWD,Gasoline,"63.5""","163""","70.9""","5.9""","101.2""","61.7""",25 City / 30 Hwy,"62.2"""
262,2018 Kia Sorento,"LX | 43,233 miles","$17,820",1,SUV,Black,Sparkling Silver,5XYPG4A38JG339353,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"66.5""","187.4""","74.4""","7.3""","109.4""","64.3""",21 City / 28 Hwy,"64.7"""
263,2019 Kia Optima,"LX | 40,659 miles","$14,940",1,Sedan,Black,Snow White Pearl,5XXGT4L37KG291391,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"57.7""","191.1""","73.2""","5.3""","110.4""","63.5""",24 City / 33 Hwy,"63.8"""
264,2018 Toyota Highlander,"LE | 35,937 miles","$25,480",1,SUV,Black,Toasted Walnut Pearl,5TDZARFH8JS040010,2.7L I4 185hp 184ft. lbs.,Automatic,FWD,Gasoline,"68.1""","192.5""","75.8""","8""","109.8""","64.4""",20 City / 24 Hwy,"64.2"""
265,2019 BMW 4 Series,"440i xDrive Gran Coupe | 9,374 miles","$44,200",1,Sedan,Black,Blue,WBA4J7C51KBM75367,3.0L Turbo I6 320hp 330ft. lbs.,Automatic,AWD,Gasoline,"55.3""","182.7""","79.4""","5.7""","110.6""","61""",21 City / 31 Hwy,"62.9"""
266,2019 Chevrolet Equinox,"LT | 34,542 miles","$17,360",1,SUV,Gray,Black,2GNAXKEV9K6210839,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","183.1""","72.6""",Unavailable,"107.3""","62.2""",26 City / 32 Hwy,"62.2"""
267,2017 Volkswagen Golf,"1.8T S | 27,577 miles","$16,730",1,Hatchback,Black,Black,3VW217AU3HM015064,1.8L Turbo I4 170hp 199ft. lbs.,Automatic,FWD,Gasoline,"57.2""","167.5""","70.8""","5.4""","103.8""","61""",25 City / 35 Hwy,"59.8"""
269,2019 Chevrolet Equinox,"LT | 40,482 miles","$16,770",1,SUV,Gray,White,2GNAXKEV7K6210094,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","183.1""","72.6""",Unavailable,"107.3""","62.2""",26 City / 32 Hwy,"62.2"""
270,2019 Jeep Cherokee,"Overland | 23,329 miles","$26,960",1,SUV,Black,Pearl White Pearl Coat,1C4PJLJN9KD193316,2.0L Turbo I4 270hp 295ft. lbs.,Automatic,FWD,Gasoline,"65.7""","182""","73.2""","8.7""","106.2""","62.2""",23 City / 31 Hwy,"61.9"""
271,2017 Jeep Cherokee,"Overland | 34,521 miles","$22,960",1,SUV,Black,Billet Silver Metallic Clear Coat,1C4PJLJS0HW574622,3.2L V6 271hp 239ft. lbs.,Automatic,FWD,Gasoline,"65.7""","182""","73.2""","8.7""","106.3""","62.2""",21 City / 29 Hwy,"61.9"""
272,2019 Dodge Journey,"GT | 29,265 miles","$18,580",1,SUV,Black,Redline 2 Pearl Coat,3C4PDDEG7KT745429,Pentastar 3.6L V6 283hp 260ft. lbs.,Automatic,AWD,Gasoline,"66.6""","192.4""","83.7""","7.2""","113.8""","61.8""",16 City / 24 Hwy,"62.3"""
273,2018 Alfa Romeo Stelvio,"Base | 12,084 miles","$28,620",1,SUV,Red,Grey,ZASFAKAN1J7B91604,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
276,2018 Chevrolet Malibu,"LT | 45,757 miles","$15,200",1,Sedan,Black,Silver Ice Metallic,1G1ZD5STXJF262924,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,Automatic,FWD,Gasoline,"57.6""","193.8""","73""",Unavailable,"111.4""","62.6""",27 City / 36 Hwy,"62.5"""
282,2019 Kia Soul,"+ | 35,380 miles","$13,620",1,Wagon,Black,Bright Silver,KNDJP3A5XK7696744,2.0L I4 161hp 150ft. lbs.,Automatic,FWD,Gasoline,"63.5""","163""","70.9""","5.9""","101.2""","61.7""",25 City / 30 Hwy,"62.2"""
283,2019 Chevrolet Traverse,"LT Leather | 30,750 miles","$33,770",2,SUV,Black,Silver,1GNERHKW2KJ272825,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"70.7""","204.3""","78.6""",Unavailable,"120.9""","67.3""",18 City / 27 Hwy,"67"""
284,2019 Chevrolet Tahoe,"LT | 30,413 miles","$41,070",1,SUV,Black,Black,1GNSCBKC9KR382375,EcoTec3 5.3L V8 355hp 383ft. lbs.,Automatic,RWD,Gasoline,"74.4""","204""","80.5""","7.9""","116""","68.7""",15 City / 22 Hwy,"68.7"""
285,2019 Kia Optima,"LX | 47,053 miles","$14,790",1,Sedan,Black,Silver,5XXGT4L32KG275809,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"57.7""","191.1""","73.2""","5.3""","110.4""","63.5""",24 City / 33 Hwy,"63.8"""
286,2019 Kia Optima,"LX | 39,862 miles","$14,930",1,Sedan,Black,Horizon Blue,5XXGT4L34KG292272,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"57.7""","191.1""","73.2""","5.3""","110.4""","63.5""",24 City / 33 Hwy,"63.8"""
287,2019 INFINITI QX60,"Pure | 26,493 miles","$28,220",1,SUV,Black,Silver,5N1DL0MN8KC530129,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.6""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
288,2017 Acura MDX,"SH-AWD w/Advance | 42,695 miles","$35,360",2,SUV,Black,Crystal Black Pearl,5FRYD4H89HB000129,3.5L V6 290hp 267ft. lbs.,Automatic,AWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",18 City / 26 Hwy,"66.3"""
289,2018 Mazda CX-5,"Touring | 34,109 miles","$21,470",1,SUV,Black,White,JM3KFACM1J1305232,SKYACTIV-G 2.5L I4 187hp 186ft. lbs.,Automatic,FWD,Gasoline,"66.2""","179.1""","72.5""","7.5""","106.2""","62.8""",25 City / 31 Hwy,"62.8"""
290,2019 Mazda CX-5,"Sport | 7,823 miles","$21,930",1,SUV,Black,Sonic Silver Metallic,JM3KFABM5K1617475,SKYACTIV-G 2.5L I4 187hp 186ft. lbs.,Automatic,FWD,Gasoline,"66.2""","179.1""","83.3""","7.5""","106.2""","62.8""",25 City / 31 Hwy,"62.8"""
291,2018 Hyundai Tucson,"Value Edition | 14,569 miles","$21,500",1,SUV,Gray,Grey,KM8J3CA29JU687255,1.6L Turbo I4 175hp 195ft. lbs.,Automatic,AWD,Gasoline,"65""","176.2""","72.8""","6.4""","105.1""","63.1""",24 City / 28 Hwy,"63.6"""
292,2019 Mazda CX-5,"Grand Touring Reserve | 4,788 miles","$33,480",1,SUV,Black,Snowflake White Pearl Mica,JM3KFBDYXK0647969,SKYACTIV-G 2.5L Turbo I4 250hp 310ft. lbs.,Automatic,AWD,Gasoline,"66.1""","179.1""","83.3""","7.5""","106.2""","62.8""",22 City / 27 Hwy,"62.8"""
293,2018 Nissan Versa Note,"SV | 38,544 miles","$11,390",1,Hatchback,Black,Cayenne Red,3N1CE2CP9JL351791,1.6L I4 109hp 107ft. lbs.,Automatic,FWD,Gasoline,"60.5""","163""","66.7""",Unavailable,"102.4""","58.3""",31 City / 39 Hwy,"58.5"""
295,2016 Mercedes-Benz B-Class,"B 250e | 38,789 miles","$15,800",2,Hatchback,Black,Cirrus White,WDDVP9AB3GJ009291,Electric 177hp 251ft. lbs.,Automatic,FWD,Electric,"61.2""","171.6""","79.1""",Unavailable,"106.2""","61""",85 City / 82 Hwy,"61"""
298,2017 Jaguar F-PACE,"20d Premium | 42,548 miles","$31,100",1,SUV,Black,Black,SADCJ2BN3HA088289,2.0L Diesel Turbo I4 180hp 318ft. lbs.,Automatic,AWD,Diesel,"65""","186.3""","85.6""","8.4""","113.2""","64.6""",26 City / 33 Hwy,"65.1"""
299,2019 Volvo S90,"T5 Momentum | 15,614 miles","$28,740",1,Sedan,Black,Osmium Grey Metallic,LVY102AK0KP079916,2.0L Turbo I4 250hp 258ft. lbs.,Automatic,FWD,Gasoline,"57.1""","200.1""","79.5""","6""","120.5""","64.1""",23 City / 35 Hwy,"64.1"""
300,2017 Nissan Rogue,"SL | 43,391 miles","$18,060",1,Wagon,Black,Black,JN8AT2MT8HW154027,2.5L I4 170hp 175ft. lbs.,Automatic,FWD,Gasoline,Unavailable,"184.5""","72.4""","7.8""","106.5""","62.8""",26 City / 33 Hwy,"62.8"""
301,2017 INFINITI QX60,"Base | 45,117 miles","$25,250",1,SUV,Black,White,5N1DL0MN6HC543678,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
302,2017 Nissan Rogue Sport,"SL | 40,280 miles","$17,170",1,SUV,Black,Gun Metallic,JN1BJ1CP9HW025852,2.0L I4 141hp 147ft. lbs.,Other,FWD,Gasoline,"62.5""","172.4""","72.3""","7.4""","104.2""","62.4""",25 City / 32 Hwy,"62.2"""
303,2017 INFINITI QX30,"Sport | 36,470 miles","$21,460",1,SUV,Black,Grey,SJKCH5CP0HA032249,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.1""","174.2""","82""","6.1""","106.3""","62""",24 City / 33 Hwy,"62"""
304,2017 INFINITI QX60,"Base | 30,977 miles","$27,070",1,SUV,Gray,Liquid Platinum,5N1DL0MN3HC515143,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
305,2017 INFINITI QX50,"Base | 34,070 miles","$21,080",1,Wagon,Black,Black,JN1BJ0RPXHM385256,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
306,2017 INFINITI QX30,"Sport | 19,611 miles","$21,900",1,Wagon,Black,Black,SJKCH5CP5HA022932,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.1""","174.2""","82""","6.1""","106.3""","62""",24 City / 33 Hwy,"62"""
307,2017 INFINITI QX30,"Sport | 13,172 miles","$23,090",1,Wagon,Black,Black,SJKCH5CP3HA022816,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.1""","174.2""","82""","6.1""","106.3""","62""",24 City / 33 Hwy,"62"""
308,2019 BMW X3,"sDrive30i | 11,653 miles","$34,800",1,SUV,Black,White,5UXTR7C58KLR46673,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"66""","185.9""","84.2""","8""","112.8""","63.8""",23 City / 30 Hwy,"64.4"""
310,2018 Chevrolet Equinox,"LS | 35,937 miles","$16,110",1,SUV,Gray,Silver Ice Metallic,3GNAXHEVXJL134397,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","183.1""","72.6""",Unavailable,"107.3""","62.2""",26 City / 32 Hwy,"62.2"""
311,2018 Buick Encore,"Preferred | 23,735 miles","$15,840",1,SUV,Black,Silver,KL4CJASB7JB619774,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,FWD,Gasoline,"65.3""","168.4""","69.9""","6.2""","100.6""","60.6""",27 City / 33 Hwy,"60.6"""
313,2019 Toyota RAV4,"XLE | 21,018 miles","$26,700",1,SUV,Gray,Silver Sky Metallic,2T3P1RFV0KW027832,2.5L I4 203hp 184ft. lbs.,Automatic,AWD,Gasoline,"67""","180.9""","73""","8.4""","105.9""","63""",25 City / 33 Hwy,"63.7"""
315,2017 Maserati Ghibli,"Base | 15,668 miles","$36,200",1,Sedan,Black,White,ZAM57XSA6H1218865,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",17 City / 24 Hwy,"65.1"""
316,2017 Maserati Ghibli,"Base | 15,673 miles","$35,440",1,Sedan,Black,Grey,ZAM57XSA4H1247071,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",17 City / 24 Hwy,"65.1"""
317,2017 Maserati Ghibli,"Base | 24,101 miles","$35,300",1,Sedan,Tan,White,ZAM57XSA3H1196341,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",17 City / 24 Hwy,"65.1"""
318,2017 Maserati Ghibli,"Base | 21,854 miles","$35,600",1,Sedan,Brown,Grey,ZAM57XSA2H1213713,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",17 City / 24 Hwy,"65.1"""
319,2017 Maserati Ghibli,"Base | 25,133 miles","$34,300",1,Sedan,Black,Black,ZAM57XSA5H1247063,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",17 City / 24 Hwy,"65.1"""
320,2017 Maserati Ghibli,"S | 25,221 miles","$38,300",1,Sedan,Black,Black,ZAM57RSA1H1240851,3.0L Twin Turbo V6 404hp 406ft. lbs.,Automatic,RWD,Gasoline,"57.5""","195.7""","82.7""","4.5""","118""","64.4""",16 City / 24 Hwy,"65.1"""
321,2017 INFINITI QX80,"Base | 31,892 miles","$38,220",1,SUV,Black,Black,JN8AZ2NF4H9642574,5.6L V8 400hp 413ft. lbs.,Automatic,RWD,Gasoline,"75.8""","208.9""","79.9""","9.2""","121.1""","67.5""",14 City / 20 Hwy,"67.9"""
322,2019 Mercedes-Benz GLS,"GLS 450 | 32,265 miles","$45,520",1,SUV,Black,Black,4JGDF6EE5KB229378,3.0L Twin Turbo V6 362hp 369ft. lbs.,Automatic,AWD,Gasoline,"72.8""","202""","84.3""","8.5""","121.1""","65.2""",16 City / 22 Hwy,"65.9"""
323,2017 INFINITI QX60,"Base | 32,852 miles","$26,420",1,SUV,Black,White,5N1DL0MNXHC544025,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
324,2017 INFINITI QX60,"Base | 42,921 miles","$24,710",1,SUV,Black,Silver,5N1DL0MM6HC518593,3.5L V6 295hp 270ft. lbs.,Automatic,AWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",19 City / 26 Hwy,"65.7"""
325,2017 INFINITI QX30,"Premium | 31,064 miles","$20,250",1,Wagon,Black,Graphite Shadow,SJKCH5CP5HA021537,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"59.4""","174.2""","82""","6.8""","106.3""","61.9""",24 City / 33 Hwy,"61.9"""
326,2017 INFINITI QX60,"Base | 30,001 miles","$25,660",1,SUV,Black,Silver,5N1DL0MN0HC516928,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
327,2017 INFINITI QX60,"Base | 28,127 miles","$26,990",1,SUV,Gray,Grey,5N1DL0MN5HC540786,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
328,2017 INFINITI QX30,"Sport | 31,705 miles","$21,540",1,Wagon,Black,Chestnut Bronze,SJKCH5CP2HA025187,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.1""","174.2""","82""","6.1""","106.3""","62""",24 City / 33 Hwy,"62"""
329,2017 INFINITI QX50,"Base | 24,310 miles","$23,400",1,Wagon,Black,White,JN1BJ0RP9HM387175,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
330,2017 INFINITI QX60,"Base | 45,059 miles","$25,320",1,SUV,Tan,White,5N1DL0MN8HC527482,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
331,2017 INFINITI QX60,"Base | 35,580 miles","$25,920",1,SUV,Tan,Hermosa Blue,5N1DL0MN0HC546477,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
332,2017 Kia Soul EV,"EV-E | 19,197 miles","$14,360",1,SUV,Gray,Clear White,KNDJP3AE2H7019745,Electric 109hp 210ft. lbs.,Automatic,FWD,Electric,"63""","163""","70.9""","5.9""","101.2""","62""",120 City / 92 Hwy,"62.4"""
333,2018 Subaru Legacy,"2.5i Premium | 54,849 miles","$16,400",1,Sedan,Black,Crystal White Pearl,4S3BNAF66J3044211,2.5L H4 175hp 174ft. lbs.,Other,AWD,Gasoline,"59""","189.1""","81.3""","5.9""","108.3""","62.2""",25 City / 34 Hwy,"62.8"""
334,2017 Lexus RX 350,"Base | 19,951 miles","$34,540",1,SUV,Black,White,2T2ZZMCA8HC061005,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
335,2019 Volkswagen Tiguan,"SEL | 14,734 miles","$26,660",1,SUV,Tan,White,3VV3B7AX3KM188400,2.0L Turbo I4 184hp 221ft. lbs.,Automatic,FWD,Gasoline,"66.3""","185.1""","72.4""","7.9""","109.8""","62.2""",22 City / 29 Hwy,"61.8"""
336,2018 Audi Q3,"Premium Plus | 43,428 miles","$25,580",1,SUV,Brown,Black,WA1JCCFS1JR013403,2.0L Turbo I4 200hp 207ft. lbs.,Automatic,AWD,Gasoline,"62.6""","172.8""","79.5""","6.7""","102.5""","61.1""",20 City / 28 Hwy,"61.2"""
337,2017 Volkswagen Jetta,"1.4T S | 11,942 miles","$13,540",1,Sedan,Black,Pure White,3VW2B7AJ4HM343659,1.4L Turbo I4 150hp 184ft. lbs.,Automatic,FWD,Gasoline,"57.2""","183.3""","70""","5.2""","104.4""","60.4""",28 City / 38 Hwy,"60.3"""
338,2017 Audi A6,"3.0T quattro Prestige | 40,370 miles","$32,900",1,Sedan,Black,Grey,WAUH2AFC2HN126294,3.0L Supercharged V6 333hp 325ft. lbs.,Automatic,AWD,Gasoline,"57.8""","194.2""","82.1""","4.6""","114.6""","64.1""",21 City / 29 Hwy,"63.7"""
339,2017 Mercedes-Benz B-Class,"B 250e | 29,804 miles","$17,800",1,Hatchback,Black,Jupiter Red,WDDVP9AB0HJ014904,Electric 177hp 251ft. lbs.,Automatic,FWD,Electric,"62.5""","171.5""","79.1""",Unavailable,"106.2""","60.4""",85 City / 82 Hwy,"60.7"""
343,2017 Ford Escape,"S | 30,647 miles","$14,450",1,SUV,Black,Black,1FMCU0F79HUE16425,Duratec 2.5L I4 168hp 170ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",21 City / 29 Hwy,"61.6"""
344,2019 Ford Escape,"SE | 25,584 miles","$17,120",1,SUV,Gray,Red,1FMCU0G93KUA72680,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",22 City / 29 Hwy,"61.6"""
345,2019 Jeep Compass,"Limited | 38,194 miles","$18,510",1,SUV,Black,Redline Pearl Coat,3C4NJCCB3KT663103,Tigershark 2.4L I4 180hp 175ft. lbs.,Automatic,FWD,Gasoline,"64.8""","173""","80""","8.2""","103.8""","60.7""",22 City / 31 Hwy,"60.3"""
346,2018 Jeep Compass,"Trailhawk | 41,123 miles","$19,600",1,SUV,Black,Redline Pearl Coat,3C4NJDDB4JT451619,Tigershark 2.4L I4 180hp 175ft. lbs.,Automatic,4x4,Gasoline,"64.8""","173""","80""","8.5""","103.8""","60.7""",22 City / 30 Hwy,"60.3"""
347,2019 Volkswagen Atlas,"V6 SE | 28,491 miles","$26,980",1,SUV,Black,Silver,1V2DR2CA8KC532989,3.6L V6 276hp 266ft. lbs.,Automatic,FWD,Gasoline,"70""","198.3""","78.3""","8""","117.3""","67.2""",17 City / 24 Hwy,"67.8"""
348,2019 Ford Fusion,"Titanium | 34,457 miles","$18,510",1,Sedan,Black,Silver,3FA6P0D99KR152561,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,AWD,Gasoline,"58.1""","191.7""","83.5""",Unavailable,"112.2""","62.7""",20 City / 29 Hwy,"62.4"""
349,2017 Mercedes-Benz C-Class,"C 300 Sport | 29,826 miles","$23,830",2,Sedan,Black,Polar White,55SWF4JB0HU202445,2.0L Turbo I4 241hp 273ft. lbs.,Automatic,RWD,Gasoline,"56.8""","184.5""","79.5""",Unavailable,"111.8""","62.5""",24 City / 34 Hwy,"60.9"""
350,2019 Ford Transit Passenger,"350 XLT | 39,669 miles","$22,940",1,Van Minivan,Gray,Oxford White,1FBZX2ZM3KKA06360,3.7L V6 275hp 260ft. lbs.,Automatic,RWD,Gasoline,"82.4""","237.6""","97.4""","6""","147.6""","68.2""",14 City / 18 Hwy,"68.6"""
351,2017 Lexus RX 350,"Base | 7,209 miles","$35,720",1,SUV,Gray,Nebula Gray Pearl,2T2ZZMCAXHC069672,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
352,2019 Nissan Armada,"SL | 43,828 miles","$33,680",1,SUV,Black,Black,JN8AY2NC6KX511223,5.6L V8 390hp 394ft. lbs.,Automatic,4x4,Gasoline,"75.8""","208.9""","79.9""","9.2""","121.1""","67.5""",13 City / 18 Hwy,"67.9"""
353,2019 Dodge Grand Caravan,"SXT | 26,208 miles","$17,150",1,Van Minivan,Black,Billet Clear Coat,2C4RDGCG9KR646580,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
355,2019 Volkswagen e-Golf,"SE | 7,939 miles","$19,980",1,Hatchback,Black,Silver,WVWKR7AU3KW914591,Electric 134hp 214ft. lbs.,Automatic,FWD,Electric,"57.2""","168.1""","70.8""","5""","103.5""","60.8""",126 City / 111 Hwy,"59.5"""
356,2017 Lexus RX 350,"350 | 32,799 miles","$31,660",1,SUV,Black,Black,2T2ZZMCA1HC080639,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
362,2018 Chevrolet Malibu,"LS | 31,359 miles","$15,350",1,Sedan,Black,Blue,1G1ZB5ST4JF215233,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,Automatic,FWD,Gasoline,"57.6""","193.8""","73""",Unavailable,"111.4""","62.6""",27 City / 36 Hwy,"62.5"""
364,2017 INFINITI QX60,"Base | 32,789 miles","$25,700",1,SUV,Black,Black,5N1DL0MN3HC541578,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
